timestamp,label,accuracy,content
20221011155854688,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011160122952,Still,100,{'Still': 100}
20221011160139446,Still,59,"{'InVehicle': 9, 'OnBycicle': 4, 'OnFoot': 17, 'Still': 59, 'Unknown': 2, 'Walking': 17}"
20221011160446425,Still,97,"{'InVehicle': 1, 'Still': 97, 'Unknown': 2}"
20221011160601813,Still,96,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 96, 'Unknown': 1, 'Walking': 1}"
20221011160731060,Still,37,"{'InVehicle': 6, 'OnBycicle': 13, 'OnFoot': 35, 'Running': 1, 'Still': 37, 'Unknown': 2, 'Walking': 35}"
20221011161133683,Still,100,{'Still': 100}
20221011161249327,Still,97,"{'InVehicle': 2, 'Still': 97, 'Unknown': 1}"
20221011161323119,Still,100,{'Still': 100}
20221011161406387,Still,100,{'Still': 100}
20221011161451310,Still,100,{'Still': 100}
20221011161607169,Still,100,{'Still': 100}
20221011161647418,Still,100,{'Still': 100}
20221011161719972,Still,100,{'Still': 100}
20221011163018617,Still,27,"{'InVehicle': 22, 'OnBycicle': 6, 'OnFoot': 26, 'Running': 1, 'Still': 27, 'Unknown': 2, 'Walking': 26}"
20221011163456481,Still,33,"{'InVehicle': 14, 'OnBycicle': 11, 'OnFoot': 30, 'Running': 1, 'Still': 33, 'Unknown': 2, 'Walking': 30}"
20221011163608911,Still,100,{'Still': 100}
20221011163654784,Still,35,"{'InVehicle': 14, 'OnBycicle': 14, 'OnFoot': 23, 'Running': 1, 'Still': 35, 'Unknown': 3, 'Walking': 23}"
20221011163727965,Still,100,{'Still': 100}
20221011163750505,Still,100,{'Still': 100}
20221011163826618,Still,100,{'Still': 100}
20221011163859948,Still,100,{'Still': 100}
20221011163937339,Still,100,{'Still': 100}
20221011164009339,Still,99,"{'InVehicle': 1, 'Still': 99}"
20221011164042080,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011164119677,Still,98,"{'InVehicle': 1, 'Still': 98}"
20221011164203741,Still,100,{'Still': 100}
20221011164240492,Still,99,"{'InVehicle': 1, 'Still': 99}"
20221011164321596,Still,100,{'Still': 100}
20221011164404951,Still,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}"
20221011165056162,Still,100,{'Still': 100}
20221011174259467,Still,100,{'Still': 100}
20221011174801263,Still,100,{'Still': 100}
20221011175133807,Still,100,{'Still': 100}
20221011175239957,Still,100,{'Still': 100}
20221011182315632,Still,100,{'Still': 100}
20221011182353546,Still,100,{'Still': 100}
20221011182436231,Still,100,{'Still': 100}
20221011182513689,Still,100,{'Still': 100}
20221011182551159,Still,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}"
20221011182637262,Still,100,{'Still': 100}
20221011182714657,Still,100,{'Still': 100}
20221011182750623,Still,100,{'Still': 100}
20221011182828527,Still,100,{'Still': 100}
20221011182905965,Still,100,{'Still': 100}
20221011183027916,Still,100,{'Still': 100}
20221011183101013,Still,100,{'Still': 100}
20221011183157558,Still,54,"{'InVehicle': 28, 'OnBycicle': 2, 'OnFoot': 5, 'Still': 54, 'Unknown': 2, 'Walking': 5}"
20221011183426382,Still,96,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 96, 'Unknown': 2, 'Walking': 1}"
20221011183538213,Still,100,{'Still': 100}
20221011183615600,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011183745753,Still,41,"{'InVehicle': 32, 'OnBycicle': 2, 'OnFoot': 8, 'Still': 41, 'Unknown': 2, 'Walking': 8}"
20221011184117455,Still,44,"{'InVehicle': 24, 'OnBycicle': 4, 'OnFoot': 11, 'Still': 44, 'Unknown': 2, 'Walking': 11}"
20221011184604349,Still,100,{'Still': 100}
20221011184641778,Still,100,{'Still': 100}
20221011184721126,Still,100,{'Still': 100}
20221011184758577,Still,100,{'Still': 100}
20221011184840132,Still,100,{'Still': 100}
20221011184922238,Still,100,{'Still': 100}
20221011185000071,Still,100,{'Still': 100}
20221011185040740,Still,100,{'Still': 100}
20221011185123263,Still,100,{'Still': 100}
20221011185200665,Still,100,{'Still': 100}
20221011185238502,Still,100,{'Still': 100}
20221011185321752,Still,100,{'Still': 100}
20221011185359183,Still,100,{'Still': 100}
20221011185436640,Still,100,{'Still': 100}
20221011185723874,Still,100,{'Still': 100}
20221011203241105,Still,100,{'Still': 100}
20221011203318552,Still,100,{'Still': 100}
20221011203404619,Still,100,{'Still': 100}
20221011203442053,Still,100,{'Still': 100}
20221011203519471,Still,100,{'Still': 100}
20221011203605690,Still,100,{'Still': 100}
20221011203638646,Still,100,{'Still': 100}
20221011203716173,Still,100,{'Still': 100}
20221011203806673,Still,100,{'Still': 100}
20221011203844118,Still,100,{'Still': 100}
20221011203921552,Still,100,{'Still': 100}
20221011204008034,Still,100,{'Still': 100}
20221011204045472,Still,100,{'Still': 100}
20221011204930585,Still,44,"{'InVehicle': 23, 'OnBycicle': 2, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}"
20221011205003870,Still,100,{'Still': 100}
20221011211534209,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011213627251,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011214544966,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011215622441,Still,44,"{'InVehicle': 25, 'OnBycicle': 6, 'OnFoot': 15, 'Running': 1, 'Still': 44, 'Unknown': 2, 'Walking': 15}"
20221011215801058,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011215921143,Still,100,{'Still': 100}
20221011220427132,Still,100,{'Still': 100}
20221011220454272,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011220533320,Still,100,{'Still': 100}
20221011220609252,Still,100,{'Still': 100}
20221011220658457,Still,100,{'Still': 100}
20221011220736034,Still,100,{'Still': 100}
20221011220813394,Still,100,{'Still': 100}
20221011220904476,Still,100,{'Still': 100}
20221011220941883,Still,100,{'Still': 100}
20221011221019544,Still,100,{'Still': 100}
20221011221101270,Still,100,{'Still': 100}
20221011221136429,Still,100,{'Still': 100}
20221011221209936,Still,100,{'Still': 100}
20221011221248394,Still,100,{'Still': 100}
20221011221525832,Still,44,"{'InVehicle': 23, 'OnBycicle': 2, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}"
20221011221620943,Still,100,{'Still': 100}
20221011221654339,Still,100,{'Still': 100}
20221011221722457,Still,100,{'Still': 100}
20221011221756049,Still,100,{'Still': 100}
20221011221833459,Still,100,{'Still': 100}
20221011221930636,Still,45,"{'InVehicle': 22, 'OnBycicle': 2, 'OnFoot': 12, 'Still': 45, 'Unknown': 1, 'Walking': 12}"
20221011222012184,Still,100,{'Still': 100}
20221011222049643,Still,100,{'Still': 100}
20221011222127074,Still,100,{'Still': 100}
20221011222205589,Still,100,{'Still': 100}
20221011222243014,Still,100,{'Still': 100}
20221011222323130,Still,100,{'Still': 100}
20221011222400583,Still,100,{'Still': 100}
20221011222428039,Still,100,{'Still': 100}
20221011223203312,Still,100,{'Still': 100}
20221011224102891,Still,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}"
20221011230100037,Still,100,{'Still': 100}
20221011231955762,Still,100,{'Still': 100}
20221011095019385,Tilting,100,{'Tilting': 100}
20221011111554381,Tilting,100,{'Tilting': 100}
20221011115503873,Tilting,100,{'Tilting': 100}
20221011122925660,Tilting,100,{'Tilting': 100}
20221011123013015,Tilting,100,{'Tilting': 100}
20221011123809558,Tilting,100,{'Tilting': 100}
20221011123855004,Tilting,100,{'Tilting': 100}
20221011124257250,Tilting,100,{'Tilting': 100}
20221011124823819,Tilting,100,{'Tilting': 100}
20221011133704674,Tilting,100,{'Tilting': 100}
20221011133912832,Tilting,100,{'Tilting': 100}
20221011133958831,Tilting,100,{'Tilting': 100}
20221011134241387,Tilting,100,{'Tilting': 100}
20221011134740929,Tilting,100,{'Tilting': 100}
20221011134941962,Tilting,100,{'Tilting': 100}
20221011135305793,Tilting,100,{'Tilting': 100}
20221011135551207,Tilting,100,{'Tilting': 100}
20221011135649440,Tilting,100,{'Tilting': 100}
20221011135726927,Tilting,100,{'Tilting': 100}
20221011135806602,Tilting,100,{'Tilting': 100}
20221011135839910,Tilting,100,{'Tilting': 100}
20221011141225334,Tilting,100,{'Tilting': 100}
20221011141338216,Tilting,100,{'Tilting': 100}
20221011141414964,Tilting,100,{'Tilting': 100}
20221011142533939,Tilting,100,{'Tilting': 100}
20221011142611807,Tilting,100,{'Tilting': 100}
20221011152504249,Tilting,100,{'Tilting': 100}
20221011152920230,Tilting,100,{'Tilting': 100}
20221011153213951,Tilting,100,{'Tilting': 100}
20221011153330607,Tilting,100,{'Tilting': 100}
20221011155708555,Tilting,100,{'Tilting': 100}
20221011160122758,Tilting,100,{'Tilting': 100}
20221011160225444,Tilting,100,{'Tilting': 100}
20221011160311580,Tilting,100,{'Tilting': 100}
20221011160344722,Tilting,100,{'Tilting': 100}
20221011160533837,Tilting,100,{'Tilting': 100}
20221011160601474,Tilting,100,{'Tilting': 100}
20221011160848866,Tilting,100,{'Tilting': 100}
20221011161056156,Tilting,100,{'Tilting': 100}
20221011161719912,Tilting,100,{'Tilting': 100}
20221011161805589,Tilting,100,{'Tilting': 100}
20221011161846852,Tilting,100,{'Tilting': 100}
20221011161932821,Tilting,100,{'Tilting': 100}
20221011162202263,Tilting,100,{'Tilting': 100}
20221011163148255,Tilting,100,{'Tilting': 100}
20221011163727879,Tilting,100,{'Tilting': 100}
20221011165056065,Tilting,100,{'Tilting': 100}
20221011174259299,Tilting,100,{'Tilting': 100}
20221011175239873,Tilting,100,{'Tilting': 100}
20221011182238151,Tilting,100,{'Tilting': 100}
20221011182953757,Tilting,100,{'Tilting': 100}
20221011183027853,Tilting,100,{'Tilting': 100}
20221011183157473,Tilting,100,{'Tilting': 100}
20221011184406122,Tilting,100,{'Tilting': 100}
20221011184450898,Tilting,100,{'Tilting': 100}
20221011184526877,Tilting,100,{'Tilting': 100}
20221011203203029,Tilting,100,{'Tilting': 100}
20221011203241044,Tilting,100,{'Tilting': 100}
20221011213507145,Tilting,100,{'Tilting': 100}
20221011213804044,Tilting,100,{'Tilting': 100}
20221011213932476,Tilting,100,{'Tilting': 100}
20221011214204305,Tilting,100,{'Tilting': 100}
20221011214336322,Tilting,100,{'Tilting': 100}
20221011214419770,Tilting,100,{'Tilting': 100}
20221011214506973,Tilting,100,{'Tilting': 100}
